(psel1reduct.c)
TAMANHO		Serial		1		2		4		8		16		32
100		0.0001		0.0002		0.0004		0.0153		0.0018		0.0034		0.0068		
				0.3733		0.1691		0.0047		0.0391		0.0212		0.0106		
				0.3733		0.0845		0.0012		0.0049		0.0013		0.0003		
1000		0.0014		0.0017		0.0019		0.0015		0.0191		0.0360		0.0700		
				0.8241		0.7290		0.8849		0.0712		0.0378		0.0195		
				0.8241		0.3645		0.2212		0.0089		0.0024		0.0006		
10000		0.1288		0.1285		0.0740		0.0764		0.2274		0.4079		0.7970		
				1.0020		1.7409		1.6864		0.5664		0.3157		0.1616		
				1.0020		0.8705		0.4216		0.0708		0.0197		0.0050		
