(psel1.c)
TAMANHO		Serial		1		2		4		8		16		32
100		0.0000		0.0001		0.0004		0.0006		0.0056		0.0097		0.0064		
				0.1490		0.0499		0.0338		0.0037		0.0021		0.0032		
				0.1490		0.0250		0.0085		0.0005		0.0001		0.0001		
1000		0.0014		0.0099		0.0358		0.0740		0.0548		0.0613		0.0844		
				0.1375		0.0381		0.0184		0.0249		0.0222		0.0161		
				0.1375		0.0190		0.0046		0.0031		0.0014		0.0005		
10000		0.1289		0.9421		3.6664		6.6143		6.4033		6.6454		6.5704		
				0.1368		0.0351		0.0195		0.0201		0.0194		0.0196		
				0.1368		0.0176		0.0049		0.0025		0.0012		0.0006		
